Enter,Exit,Class 1,Class 2,Class 3,Class 4,Class 5
PAJAM TOLL,KAJANG SELATAN TOLL,3.4,5.1,6.7,1.7,2.1
PAJAM TOLL,MANTIN TOLL,2,3,4,1,1.2
PAJAM TOLL,SEMENYIH TOLL,2.8,4.2,5.6,1.4,1.7
PAJAM TOLL,SETUL TOLL,3.1,4.6,6.2,1.5,1.9
SEMENYIH TOLL,ECO MAJESTIC TOLL,1.4,2.1,2.8,0.7,1
SEMENYIH TOLL,KAJANG SELATAN TOLL,1.3,1.9,2.5,0.6,0.8
SEMENYIH TOLL,MANTIN TOLL,4.3,6.4,8.5,2.1,2.6
SEMENYIH TOLL,PAJAM TOLL,2.8,4.2,5.6,1.4,1.7
SEMENYIH TOLL,SETUL TOLL,5.4,8.1,10.9,2.7,3.4
SETUL TOLL,ECO MAJESTIC TOLL,3.9,5.9,7.8,2,2.9
SETUL TOLL,KAJANG SELATAN TOLL,6,9,11.9,3,3.7
SETUL TOLL,MANTIN TOLL,1.8,2.7,3.6,0.9,1.1
SETUL TOLL,PAJAM TOLL,3.1,4.6,6.2,1.7,1.9
SETUL TOLL,SEMENYIH TOLL,5.4,8.1,10.9,2.7,3.4
AYER HITAM TOLL,PULAU INDAH TOLL,8.1,12.2,16.3,4.1,5
AYER HITAM TOLL,SAUJANA PUTRA TOLL,2.4,3.5,4.7,1.2,1.5
AYER HITAM TOLL,TELUK PANGLIMA GARANG TOLL,4.5,6.7,8.9,2.2,2.8
PULAU INDAH TOLL,AYER HITAM TOLL,8.1,12.2,16.3,4.1,5
PULAU INDAH TOLL,SAUJANA PUTRA TOLL,6.3,9.5,12.7,3.2,3.9
PULAU INDAH TOLL,TELUK PANGLIMA GARANG TOLL,4.2,6.2,8.3,2.1,2.6
SAUJANA PUTRA TOLL,AYER HITAM TOLL,2.4,3.5,4.7,1.2,1.5
SAUJANA PUTRA TOLL,PULAU INDAH TOLL,6.3,9.5,12.7,3.2,3.9
SAUJANA PUTRA TOLL,TELUK PANGLIMA GARANG TOLL,2.7,4.1,5.4,1.4,1.7
TELUK PANGLIMA GARANG TOLL,AYER HITAM TOLL,4.5,6.7,8.9,2.2,2.8
TELUK PANGLIMA GARANG TOLL,PULAU INDAH TOLL,4.2,6.2,8.3,2.1,2.6
TELUK PANGLIMA GARANG TOLL,SAUJANA PUTRA TOLL,2.7,4.1,5.4,1.4,1.7
CAHAYA BARU TOLL,PENAWAR TOLL,7.2,10.8,14.4,3.6,4.5
CAHAYA BARU TOLL,SENAI TOLL,9.2,13.8,18.4,4.6,5.7
CAHAYA BARU TOLL,TIRAM TOLL,5.6,8.5,11.3,2.8,3.5
PENAWAR TOLL,CAHAYA BARU TOLL,7.2,10.8,14.4,3.6,4.5
PENAWAR TOLL,SENAI TOLL,13.5,20.2,27,6.8,8.4
PENAWAR TOLL,TIRAM TOLL,9.9,14.9,19.9,5,6.2
SENAI TOLL,CAHAYA BARU TOLL,9.2,13.8,18.4,4.6,5.7
SENAI TOLL,PENAWAR TOLL,13.5,20.2,27,6.8,8.4
SENAI TOLL,TIRAM TOLL,4.5,6.8,9,2.3,2.8
TIRAM TOLL,CAHAYA BARU TOLL,5.6,8.5,11.3,2.8,3.5
TIRAM TOLL,PENAWAR TOLL,9.9,14.9,19.9,5,6.2
TIRAM TOLL,SENAI TOLL,4.5,6.8,9,2.3,2.8
BUKIT BESI TOLL,AJIL TOLL,5.1,10.1,15.2,2.5,5.1
BUKIT BESI TOLL,CHENEH TOLL,11.5,23.1,34.6,5.8,11.5
BUKIT BESI TOLL,CUKAI TOLL,9.8,19.5,29.3,4.9,9.8
BUKIT BESI TOLL,DUNGUN TOLL,2.5,5,7.5,1.3,2.5
BUKIT BESI TOLL,KERTEH TOLL,6,12.1,18.1,3,6
BUKIT BESI TOLL,KIJAL TOLL,7.5,15.1,22.6,3.8,7.5
BUKIT BESI TOLL,KUALA TERENGGANU TOLL,8.6,17.2,25.7,4.3,8.6
BUKIT BESI TOLL,PAKA TOLL,4.5,8.9,13.4,2.2,4.5
BUKIT BESI TOLL,TELEMUNG TOLL,7.4,14.8,22.2,3.7,7.4
CHENEH TOLL,AJIL TOLL,16.2,32.4,48.5,8.1,16.2
CHENEH TOLL,BUKIT BESI TOLL,11.5,23.1,34.6,5.8,11.5
CHENEH TOLL,CUKAI TOLL,2.2,4.4,6.7,1.1,2.2
CHENEH TOLL,DUNGUN TOLL,9.8,19.5,29.3,4.9,9.8
CHENEH TOLL,KERTEH TOLL,6.2,12.3,18.5,3.1,6.2
CHENEH TOLL,KIJAL TOLL,4.5,9,13.4,2.2,4.5
CHENEH TOLL,KUALA TERENGGANU TOLL,19.7,39.4,59.1,9.9,19.7
CHENEH TOLL,PAKA TOLL,7.6,15.2,22.8,3.8,7.6
CHENEH TOLL,TELEMUNG TOLL,18.5,37,55.5,9.3,18.5
CHENOR TOLL,AJIL TOLL,32.3,64.7,97,16.1,32.3
CHENOR TOLL,BUKIT BESI TOLL,27.7,55.4,83.1,13.8,27.7
CHENOR TOLL,CHENEH TOLL,16.7,33.3,50,8.3,16.7
CHENOR TOLL,CHENOR TOLL,0,0,0,0,0
CHENOR TOLL,CUKAI TOLL,18.1,36.2,54.3,9,18.1
CHENOR TOLL,DUNGUN TOLL,25.7,51.3,77,12.8,25.7
CHENOR TOLL,GAMBANG TOLL,9.5,19,28.6,4.8,9.5
CHENOR TOLL,JABOR TOLL,13.7,27.4,41.1,6.8,13.7
CHENOR TOLL,KARAK TOLL,7.7,15.4,23.1,3.9,7.7
CHENOR TOLL,KERTEH TOLL,22.1,44.1,66.2,11,22.1
CHENOR TOLL,KIJAL TOLL,20.4,40.7,61.1,10.1,20.4
CHENOR TOLL,KUALA TERENGGANU TOLL,35.9,71.7,107.6,17.9,35.9
CHENOR TOLL,KUANTAN TOLL,12.3,24.6,36.8,6.1,12.3
CHENOR TOLL,LANCANG TOLL,5.2,10.3,15.5,2.6,5.2
CHENOR TOLL,MARAN TOLL,4.4,8.8,13.2,2.2,4.4
CHENOR TOLL,PAKA TOLL,23.5,46.9,70.4,11.7,23.5
CHENOR TOLL,SRI JAYA TOLL,6.1,12.2,18.2,3,6.1
CHENOR TOLL,TELEMUNG TOLL,34.7,69.4,104,17.3,34.7
CHENOR TOLL,TEMERLOH TOLL,2,3.9,5.9,1,2
CUKAI TOLL,AJIL TOLL,14.4,28.8,43.2,7.2,14.4
CUKAI TOLL,BUKIT BESI TOLL,9.8,19.5,29.3,4.9,5.8
CUKAI TOLL,CHENEH TOLL,2.2,4.4,6.7,1.1,2.2
CUKAI TOLL,DUNGUN TOLL,8,16,24,4,8
CUKAI TOLL,KARAK TOLL,25.5,51,76.5,12.8,25.5
CUKAI TOLL,KERTEH TOLL,4.4,8.8,13.2,2.2,4.4
CUKAI TOLL,KIJAL TOLL,2.7,5.4,8.1,1.4,2.7
CUKAI TOLL,KUALA TERENGGANU TOLL,17.9,35.9,53.8,9,17.9
CUKAI TOLL,PAKA TOLL,5.8,11.6,17.4,2.9,5.8
CUKAI TOLL,TELEMUNG TOLL,16.8,33.5,50.3,8.4,16.8
GAMBANG TOLL,AJIL TOLL,23,46,69,11.5,23
GAMBANG TOLL,BUKIT BESI TOLL,18.4,36.7,55.1,9.2,18.4
GAMBANG TOLL,CHENEH TOLL,7.4,14.6,22,3.7,7.4
GAMBANG TOLL,CHENOR TOLL,9.5,19,28.6,4.8,9.5
GAMBANG TOLL,CUKAI TOLL,8.8,17.5,26.3,4.4,8.8
GAMBANG TOLL,DUNGUN TOLL,16.4,32.6,49,8.2,16.4
GAMBANG TOLL,GAMBANG TOLL,0,0,0,0,0
GAMBANG TOLL,JABOR TOLL,4.3,8.7,13,2.2,4.3
GAMBANG TOLL,KARAK TOLL,16.9,33.7,50.6,8.4,16.9
GAMBANG TOLL,KERTEH TOLL,12.8,25.4,38.2,6.4,12.8
GAMBANG TOLL,KIJAL TOLL,11.1,22,33.1,5.5,11.1
GAMBANG TOLL,KUALA TERENGGANU TOLL,26.6,53,79.6,13.3,26.6
GAMBANG TOLL,KUANTAN TOLL,2.9,5.8,8.8,1.5,2.9
GAMBANG TOLL,LANCANG TOLL,14.3,28.6,42.9,7.2,14.3
GAMBANG TOLL,MARAN TOLL,5.4,10.8,16.3,2.7,5.4
GAMBANG TOLL,PAKA TOLL,14.2,28.2,42.4,7.1,14.2
GAMBANG TOLL,SRI JAYA TOLL,3.8,7.7,11.5,1.9,3.8
GAMBANG TOLL,TELEMUNG TOLL,25.4,50.7,76,12.7,25.4
GAMBANG TOLL,TEMERLOH TOLL,11.1,22.2,33.3,5.6,11.1
JABOR TOLL,AJIL TOLL,19.1,38.4,57.5,9.6,19.1
JABOR TOLL,BUKIT BESI TOLL,14.5,29.1,43.6,7.3,0
JABOR TOLL,CHENEH TOLL,3.5,7,10.5,1.8,3.5
JABOR TOLL,CHENOR TOLL,13.7,27.4,41.1,6.8,13.7
JABOR TOLL,CUKAI TOLL,4.9,9.9,14.8,2.5,4.9
JABOR TOLL,DUNGUN TOLL,12.5,25,37.5,6.3,14.5
JABOR TOLL,GAMBANG TOLL,4.3,8.7,13,2.2,4.3
JABOR TOLL,JABOR TOLL,0,0,0,0,0
JABOR TOLL,KARAK TOLL,21,42.1,63.1,10.5,21
JABOR TOLL,KERTEH TOLL,8.9,17.8,26.7,4.5,8.9
JABOR TOLL,KIJAL TOLL,7.2,14.4,21.6,3.6,7.2
JABOR TOLL,KUALA TERENGGANU TOLL,22.7,45.4,68.1,11.4,22.7
JABOR TOLL,KUANTAN TOLL,1.7,3.3,5,0.8,1.7
JABOR TOLL,LANCANG TOLL,18.5,37,55.4,9.2,18.5
JABOR TOLL,MARAN TOLL,9.6,19.2,28.8,4.8,9.6
JABOR TOLL,PAKA TOLL,10.3,20.6,30.9,5.2,10.3
JABOR TOLL,SRI JAYA TOLL,8,16,24,4,8
JABOR TOLL,TELEMUNG TOLL,21.5,43.1,64.5,10.8,21.5
JABOR TOLL,TEMERLOH TOLL,15.3,30.6,45.8,7.6,15.3
KARAK TOLL,AJIL TOLL,39.7,79.5,119.2,19.9,39.7
KARAK TOLL,BUKIT BESI TOLL,35.1,70.2,105.3,17.5,35.1
KARAK TOLL,CHENEH TOLL,24.1,48.1,72.2,12,24.1
KARAK TOLL,CHENOR TOLL,7.7,15.4,23.1,3.9,7.7
KARAK TOLL,CUKAI TOLL,25.5,51,76.5,12.8,25.5
KARAK TOLL,DUNGUN TOLL,33.1,66.1,99.2,16.5,33.1
KARAK TOLL,GAMBANG TOLL,16.9,33.7,50.6,8.4,16.9
KARAK TOLL,JABOR TOLL,21,42.1,63.1,10.5,21
KARAK TOLL,KARAK TOLL,0,0,0,0,0
KARAK TOLL,KERTEH TOLL,29.5,58.9,88.4,14.7,29.5
KARAK TOLL,KIJAL TOLL,27.8,55.5,83.3,13.9,27.8
KARAK TOLL,KUALA TERENGGANU TOLL,43.3,86.5,129.8,21.6,43.3
KARAK TOLL,KUANTAN TOLL,19.6,39.2,58.9,9.8,19.6
KARAK TOLL,LANCANG TOLL,2.8,5.5,8.3,1.4,2.8
KARAK TOLL,MARAN TOLL,11.7,23.5,35.2,5.9,11.7
KARAK TOLL,PAKA TOLL,30.9,61.8,92.6,15.4,30.9
KARAK TOLL,SRI JAYA TOLL,13.4,26.8,40.3,6.7,13.4
KARAK TOLL,TELEMUNG TOLL,42.1,84.2,126.3,21,42.1
KARAK TOLL,TEMERLOH TOLL,6,12,18,3,6
KIJAL TOLL,AJIL TOLL,12.2,24.4,36.6,6.1,12.2
KIJAL TOLL,BUKIT BESI TOLL,7.5,15.1,22.6,3.8,7.5
KIJAL TOLL,CHENEH TOLL,4.5,9,13.4,2.2,4.5
KIJAL TOLL,CUKAI TOLL,2.7,5.4,8.1,1.4,2.7
KIJAL TOLL,DUNGUN TOLL,5.8,11.6,17.4,2.9,5.8
KIJAL TOLL,KERTEH TOLL,2.2,4.4,6.6,1.1,2.2
KIJAL TOLL,KUALA TERENGGANU TOLL,15.7,31.4,47.2,7.9,15.7
KIJAL TOLL,PAKA TOLL,3.6,7.2,10.8,1.8,3.6
KIJAL TOLL,TELEMUNG TOLL,14.5,29.1,43.6,7.3,14.5
KUANTAN TOLL,AJIL TOLL,20.3,40.7,61,10.2,20.3
KUANTAN TOLL,BUKIT BESI TOLL,15.7,31.4,47.1,7.9,15.7
KUANTAN TOLL,CHENEH TOLL,4.7,9.3,14,2.4,4.7
KUANTAN TOLL,CHENOR TOLL,12.3,24.6,36.8,6.1,12.3
KUANTAN TOLL,CUKAI TOLL,6.1,12.2,18.3,3.1,6.1
KUANTAN TOLL,DUNGUN TOLL,13.7,27.3,41,13.7,0
KUANTAN TOLL,GAMBANG TOLL,2.9,5.8,8.8,1.5,2.9
KUANTAN TOLL,JABOR TOLL,1.7,3.3,5,0.8,1.7
KUANTAN TOLL,KARAK TOLL,19.6,39.2,58.9,9.8,19.6
KUANTAN TOLL,KERTEH TOLL,10.1,20.1,30.2,5.1,10.1
KUANTAN TOLL,KIJAL TOLL,8.4,16.7,25.1,4.2,8.4
KUANTAN TOLL,KUALA TERENGGANU TOLL,47.7,71.6,12,23.9,0
KUANTAN TOLL,TEMERLOH TOLL,0,0,0,0,0
KUANTAN TOLL,LANCANG TOLL,17.1,34.1,51.2,8.5,17.1
KUANTAN TOLL,MARAN TOLL,8.2,16.4,24.5,4.1,8.2
KUANTAN TOLL,PAKA TOLL,11.5,22.9,34.4,6.9,11.5
KUANTAN TOLL,SRI JAYA TOLL,6.6,13.2,19.8,3.3,6.6
KUANTAN TOLL,TELEMUNG TOLL,22.7,45.4,68,11.4,22.7
KUANTAN TOLL,TEMERLOH TOLL,13.9,27.7,41.6,6.9,13.9
LANCANG TOLL,AJIL TOLL,37.1,74.3,111.4,18.6,37.1
LANCANG TOLL,BUKIT BESI TOLL,32.5,65,97.5,16.2,32.5
LANCANG TOLL,CHENEH TOLL,21.5,42.9,64.4,10.7,21.5
LANCANG TOLL,CHENOR TOLL,5.2,10.3,15.5,2.6,5.2
LANCANG TOLL,CUKAI TOLL,22.9,45.8,68.7,11.5,22.9
LANCANG TOLL,DUNGUN TOLL,30.5,60.9,91.4,15.2,30.5
LANCANG TOLL,GAMBANG TOLL,14.3,28.6,42.9,7.2,14.3
LANCANG TOLL,JABOR TOLL,18.5,37,55.4,9.2,18.5
LANCANG TOLL,KARAK TOLL,2.8,5.5,8.3,1.4,2.8
LANCANG TOLL,KERTEH TOLL,26.9,53.7,80.6,13.4,26.9
LANCANG TOLL,KIJAL TOLL,25.2,50.3,75.5,12.6,25.2
LANCANG TOLL,KUALA TERENGGANU TOLL,40.7,81.3,122,20.3,40.7
LANCANG TOLL,KUANTAN TOLL,17.1,34.1,51.2,8.5,17.1
LANCANG TOLL,LANCANG TOLL,0,0,0,0,0
LANCANG TOLL,MARAN TOLL,9.2,18.4,27.6,4.6,9.2
LANCANG TOLL,PAKA TOLL,28.3,56.5,84.8,14.1,28.3
LANCANG TOLL,SRI JAYA TOLL,10.9,21.7,32.6,5.4,10.9
LANCANG TOLL,TELEMUNG TOLL,39.5,79,118.4,19.7,39.5
LANCANG TOLL,TEMERLOH TOLL,3.4,6.9,10.3,1.7,3.4
MARAN TOLL,AJIL TOLL,28.2,56.5,84.7,14.1,28.2
MARAN TOLL,BUKIT BESI TOLL,23.6,47.2,70.8,11.8,23.6
MARAN TOLL,CHENEH TOLL,12.6,25.1,37.7,6.3,12.6
MARAN TOLL,CHENOR TOLL,4.4,8.8,13.2,2.2,4.4
MARAN TOLL,CUKAI TOLL,14,28,42,7,14
MARAN TOLL,DUNGUN TOLL,21.6,43.1,64.7,10.8,21.6
MARAN TOLL,GAMBANG TOLL,5.4,10.8,16.3,2.7,5.4
MARAN TOLL,JABOR TOLL,9.6,19.2,28.8,4.8,9.6
MARAN TOLL,KARAK TOLL,11.7,23.5,35.2,5.9,11.7
MARAN TOLL,KERTEH TOLL,18,35.9,53.9,9,18
MARAN TOLL,KIJAL TOLL,16.3,32.5,48.8,8.1,16.3
MARAN TOLL,KUALA TERENGGANU TOLL,31.8,63.5,95.3,15.9,31.8
MARAN TOLL,KUANTAN TOLL,8.2,16.4,24.5,4.1,8.2
MARAN TOLL,LANCANG TOLL,9.2,18.4,27.6,4.6,9.2
MARAN TOLL,MARAN TOLL,0,0,0,0,0
MARAN TOLL,PAKA TOLL,19.4,38.7,58.1,9.7,19.4
MARAN TOLL,SRI JAYA TOLL,2,4,5.9,1,2
MARAN TOLL,TELEMUNG TOLL,30.6,61.2,91.7,15.3,30.6
MARAN TOLL,TEMERLOH TOLL,6,12,17.9,3,6
PAKA TOLL,AJIL TOLL,9.1,18.2,27.3,4.5,9.1
PAKA TOLL,BUKIT BESI TOLL,4.5,8.9,13.4,2.2,4.5
PAKA TOLL,CHENEH TOLL,7.6,15.2,22.8,3.8,7.6
PAKA TOLL,CUKAI TOLL,5.8,11.6,17.4,2.9,5.8
PAKA TOLL,DUNGUN TOLL,2.7,5.4,8.1,1.3,2.7
PAKA TOLL,KERTEH TOLL,2.1,4.2,6.3,1,2.1
PAKA TOLL,KIJAL TOLL,3.6,7.2,10.8,1.8,3.6
PAKA TOLL,KUALA TERENGGANU TOLL,12.6,25.2,37.9,6.3,12.6
PAKA TOLL,TELEMUNG TOLL,11.4,22.9,34.3,5.7,11.4
SRI JAYA TOLL,AJIL TOLL,26.6,53.4,87,13.3,29
SRI JAYA TOLL,BUKIT BESI TOLL,22,44.1,66.1,11,22
SRI JAYA TOLL,CHENEH TOLL,11,22,33,5.5,11
SRI JAYA TOLL,CHENOR TOLL,6.1,12.2,18.2,3,6.1
SRI JAYA TOLL,CUKAI TOLL,12.4,24.9,37.3,6.2,12.4
SRI JAYA TOLL,DUNGUN TOLL,20,40,60,10,20
SRI JAYA TOLL,GAMBANG TOLL,3.8,7.7,11.5,1.9,3.8
SRI JAYA TOLL,JABOR TOLL,8,16,24,4,8
SRI JAYA TOLL,KARAK TOLL,13.4,26.8,40.3,6.7,13.4
SRI JAYA TOLL,KERTEH TOLL,16.4,35.6,49.2,8.2,16.4
SRI JAYA TOLL,KIJAL TOLL,14.7,29.4,44.1,7.3,14.7
SRI JAYA TOLL,KUALA TERENGGANU TOLL,30.2,60.4,90.6,15.1,30.2
SRI JAYA TOLL,KUANTAN TOLL,6.6,13.2,19.8,3.3,6.6
SRI JAYA TOLL,LANCANG TOLL,10.9,21.7,32.6,5.4,10.9
SRI JAYA TOLL,MARAN TOLL,2,4,5.9,1,2
SRI JAYA TOLL,PAKA TOLL,17.8,35.6,53.4,8.9,17.8
SRI JAYA TOLL,SRI JAYA TOLL,0,0,0,0,0
SRI JAYA TOLL,TELEMUNG TOLL,29,58.1,87,14.5,29
SRI JAYA TOLL,TEMERLOH TOLL,7.7,15.3,23,3.8,7.7
TELEMUNG TOLL,AJIL TOLL,2.9,5.9,8.8,1.5,2.9
TELEMUNG TOLL,BUKIT BESI TOLL,7.4,14.8,22.2,3.7,7.4
TELEMUNG TOLL,CHENEH TOLL,18.5,37,55.5,9.3,18.5
TELEMUNG TOLL,CUKAI TOLL,16.8,33.5,50.3,8.4,16.8
TELEMUNG TOLL,DUNGUN TOLL,9.4,18.8,28.2,4.7,9.4
TELEMUNG TOLL,KERTEH TOLL,13,26,39.1,6.5,13
TELEMUNG TOLL,KIJAL TOLL,14.5,29.1,43.6,7.3,14.5
TELEMUNG TOLL,KUALA TERENGGANU TOLL,1.7,3.5,5.2,0.9,1.7
TELEMUNG TOLL,PAKA TOLL,11.4,22.9,34.3,5.7,11.4
TEMERLOH TOLL,AJIL TOLL,33.9,67.9,101.8,16.9,33.9
TEMERLOH TOLL,BUKIT BESI TOLL,29.3,58.6,87.9,14.6,29.3
TEMERLOH TOLL,CHENEH TOLL,0,36.5,0,0,0
TEMERLOH TOLL,CHENOR TOLL,2,3.9,5.9,1,2
TEMERLOH TOLL,CUKAI TOLL,39.4,0,9.8,19.7,0
TEMERLOH TOLL,DUNGUN TOLL,27.3,54.5,81.8,13.6,27.3
TEMERLOH TOLL,GAMBANG TOLL,11.1,22.2,33.3,5.6,11.1
TEMERLOH TOLL,JABOR TOLL,15.3,30.6,45.8,7.6,15.3
TEMERLOH TOLL,KARAK TOLL,6,12,18,3,6
TEMERLOH TOLL,KERTEH TOLL,23.7,47.3,71,11.8,23.7
TEMERLOH TOLL,KIJAL TOLL,22,43.9,65.9,10.9,22
TEMERLOH TOLL,KUALA TERENGGANU TOLL,37.5,74.9,112.4,18.7,37.5
TEMERLOH TOLL,KUANTAN TOLL,18.8,37.6,56.4,9.4,18.8
TEMERLOH TOLL,LANCANG TOLL,3.4,6.9,10.3,1.7,3.4
TEMERLOH TOLL,MARAN TOLL,6,12,17.9,3,6
TEMERLOH TOLL,PAKA TOLL,25.1,50.1,75.2,12.5,25.1
TEMERLOH TOLL,SRI JAYA TOLL,7.7,15.3,23,3.8,7.7
TEMERLOH TOLL,TELEMUNG TOLL,36.3,72.6,108.8,18.1,36.3
TEMERLOH TOLL,TEMERLOH TOLL,0,0,0,0,0
