enter,EXIT,1,2,3,4,5
ALOR PONGSU Toll,Bandar Saujana Putra Toll,33.87,61.9,82.6,16.97,25.42
ALOR PONGSU Toll,BANDAR GAMUDA COVE Toll,35.01,64,85.3,17.47,26.24
ALOR PONGSU Toll,Putra Jaya Toll,35.42,64.8,86.4,17.71,26.57
ALOR PONGSU Toll,BANDAR SERENIA Toll,36.24,66.2,88.3,18.12,27.14
ALOR PONGSU Toll,KLIA Toll,36.65,66.8,88.9,18.53,27.63
ALOR PONGSU Toll,Nilai Toll,37.88,69.3,92.4,18.94,28.45
ALOR PONGSU Toll,Putera Mahkota Toll,37.97,69.4,92.5,18.94,28.45
ALOR PONGSU Toll,SOUTHVILLE CITY Toll,38.38,70.2,93.6,19.19,28.78
ALOR PONGSU Toll,BANDAR CASSIA Toll,9.37,36.9,78.6,10.28,29
ALOR PONGSU Toll,BANGI Toll,38.7,70.8,94.4,19.35,29.03
ALOR PONGSU Toll,KAJANG Toll,39.36,72,96,19.68,29.52
ALOR PONGSU Toll,Bandar Ainsdale Toll,39.52,72.3,96.5,19.76,29.68
ALOR PONGSU Toll,UPM Toll,39.61,72.4,96.6,19.84,29.68
ALOR PONGSU Toll,SEREMBAN Toll,39.93,72.9,97.3,19.93,29.93
ALOR PONGSU Toll,Sg. Besi Toll,40.1,73.4,97.8,20.09,30.09
ALOR PONGSU Toll,Port Dickson Toll,40.34,73.8,98.4,20.17,30.26
ALOR PONGSU Toll,Senawang Toll,40.75,74.6,99.4,20.42,30.59
ALOR PONGSU Toll,PEDAS LINGGI Toll,42.56,77.8,103.8,21.32,31.9
ALOR PONGSU Toll,Simpang Ampat Toll,45.1,82.5,110.1,22.55,33.87
ALOR PONGSU Toll,Ayer Keroh Toll,47.56,86.9,115.9,23.78,35.67
ALOR PONGSU Toll,Jasin Toll,49.28,90.2,120.2,24.68,36.98
ALOR PONGSU Toll,Tangkak Toll,50.51,92.3,123.1,25.26,37.88
ALOR PONGSU Toll,Bukit Gambir Toll,51.82,94.8,126.4,25.91,38.87
ALOR PONGSU Toll,Pagoh Toll,53.63,98,130.7,26.81,40.18
ALOR PONGSU Toll,Yong Peng Utara Toll,58.38,106.7,142.3,29.19,43.79
ALOR PONGSU Toll,Ayer Hitam Toll,60.52,110.7,147.6,30.26,45.43
ALOR PONGSU Toll,Machap Toll,61.34,112.2,149.6,30.67,46
ALOR PONGSU Toll,Spg. Renggam Toll,62.89,115.1,153.4,31.49,47.23
ALOR PONGSU Toll,Sedenak Toll,65.03,118.8,158.5,32.47,48.71
ALOR PONGSU Toll,KULAI Toll,66.5,121.6,162.1,33.21,49.86
ALOR PONGSU Toll,Senai Utara Toll,67.49,123.4,164.6,33.78,50.59
ALOR PONGSU Toll,Skudai Toll,67.81,124,165.4,33.95,50.84
Alor Setar Selatan Toll,Alor Setar Utara Toll,0.98,1.8,2.4,0.49,0.73
Alor Setar Selatan Toll,Hutan Kampung Toll,1.14,2.2,2.9,0.57,0.9
Alor Setar Selatan Toll,PENDANG Toll,1.96,3.6,4.8,0.98,1.47
Alor Setar Selatan Toll,GURUN Toll,3.93,7.2,9.5,1.96,2.95
Alor Setar Selatan Toll,SG. PETANI UTARA Toll,5.9,10.8,14.5,2.95,4.42
Alor Setar Selatan Toll,SG. PETANI SELATAN Toll,6.97,12.8,17,3.52,5.24
Alor Setar Selatan Toll,BERTAM Toll,8.28,15.1,20.1,4.1,6.15
Alor Setar Selatan Toll,Ipoh Selatan Toll,9.34,17,22.6,4.75,7.5
Alor Setar Selatan Toll,SG. DUA Toll,9.34,17,22.6,4.75,7.5
Alor Setar Selatan Toll,BKT. TAMBUN SELATAN Toll,10.24,18.6,24.8,5.16,8.16
Alor Setar Selatan Toll,JAWI Toll,11.64,21.2,28.2,5.9,9.22
Alor Setar Selatan Toll,BANDAR BAHARU Toll,12.95,23.6,31.4,6.55,10.21
Alor Setar Selatan Toll,ALOR PONGSU Toll,13.52,24.6,32.8,6.88,10.62
Alor Setar Selatan Toll,BUKIT MERAH Toll,15,27.4,36.5,7.62,11.76
Alor Setar Selatan Toll,TAIPING UTARA Toll,16.31,29.7,39.6,8.28,12.75
Alor Setar Selatan Toll,CANGKAT JERING Toll,17.95,32.7,43.5,9.01,13.98
Alor Setar Selatan Toll,KUALA KANGSAR Toll,20.41,37.2,49.5,10.24,15.78
Alor Setar Selatan Toll,IPOH UTARA Toll,23.12,42.2,56.2,11.64,17.83
Alor Setar Selatan Toll,SIMPANG PULAI Toll,24.59,44.9,59.7,12.38,18.9
Alor Setar Selatan Toll,GOPENG Toll,25.66,46.9,62.5,12.95,19.72
Alor Setar Selatan Toll,TAPAH Toll,29.02,53,70.6,14.59,22.26
Alor Setar Selatan Toll,BIDOR Toll,30.5,55.8,74.3,15.33,23.41
Alor Setar Selatan Toll,SUNGKAI Toll,32.05,58.5,78,16.07,24.56
Alor Setar Selatan Toll,SLIM RIVER Toll,34.19,62.4,83.1,17.13,26.11
Alor Setar Selatan Toll,BEHRANG Toll,35.83,65.4,87.2,18.03,27.34
Alor Setar Selatan Toll,Tg. Malim Toll,37.47,68.4,91.1,18.77,28.57
Alor Setar Selatan Toll,LEMBAH BERINGIN Toll,38.45,70.2,93.6,19.35,29.31
Alor Setar Selatan Toll,BUKIT TAGAR Toll,39.43,72.1,96,19.84,30.05
Alor Setar Selatan Toll,BUKIT BERUNTUNG Toll,40.42,73.8,98.3,20.25,30.79
Alor Setar Selatan Toll,SUNGAI BUAYA Toll,41.16,75.2,100.2,20.66,31.36
Alor Setar Selatan Toll,RAWANG Toll,42.14,77,102.6,21.15,32.1
Alor Setar Selatan Toll,RAWANG SELATAN Toll,42.63,77.9,103.8,21.4,32.51
Alor Setar Selatan Toll,SG. BULOH HOSPITAL Toll,43.29,79.1,105.4,21.72,33
Alor Setar Selatan Toll,SG. BULOH Toll,43.53,79.5,106,21.81,33.17
Alor Setar Selatan Toll,KOTA DAMANSARA Toll,44.19,80.7,107.6,22.22,33.66
Alor Setar Selatan Toll,DAMANSARA Toll,44.6,81.6,108.7,22.38,33.99
Alor Setar Selatan Toll,Jalan Duta Toll,44.85,81.9,109.1,22.46,34.07
Alor Setar Selatan Toll,SUBANG Toll,44.85,81.9,109.1,22.46,34.07
Alor Setar Selatan Toll,Shah Alam Toll,45.34,82.9,110.4,22.79,34.56
Alor Setar Selatan Toll,Seafield Toll,46.08,84.2,112.1,23.12,34.97
Alor Setar Selatan Toll,BANDAR CASSIA Toll,16.83,50.4,96.6,14.12,35.02
Alor Setar Selatan Toll,Setia Alam Toll,46.32,84.6,112.8,23.2,35.22
Alor Setar Selatan Toll,USJ Toll,46.49,84.9,113.1,23.28,35.3
Alor Setar Selatan Toll,Bukit Raja Toll,46.49,84.9,113.2,23.28,35.38
Alor Setar Selatan Toll,PUTRA HEIGHTS Toll,46.98,85.9,114.4,23.53,35.71
Alor Setar Selatan Toll,Bandar Saujana Putra Toll,47.31,86.4,115.1,23.69,35.95
Alor Setar Selatan Toll,BANDAR GAMUDA COVE Toll,48.37,88.4,117.8,24.27,36.77
Alor Setar Selatan Toll,Putra Jaya Toll,48.86,89.3,118.9,24.51,37.1
Alor Setar Selatan Toll,BANDAR SERENIA Toll,49.6,90.6,120.8,24.92,37.68
Alor Setar Selatan Toll,KLIA Toll,50.09,91.3,121.4,25.33,38.09
Alor Setar Selatan Toll,Nilai Toll,51.32,93.8,124.9,25.74,38.99
Alor Setar Selatan Toll,Putera Mahkota Toll,51.32,93.9,125.1,25.82,38.99
Alor Setar Selatan Toll,SOUTHVILLE CITY Toll,51.82,94.6,126.1,25.99,39.32
Alor Setar Selatan Toll,BANGI Toll,52.14,95.3,127,26.15,39.56
Alor Setar Selatan Toll,KAJANG Toll,52.8,96.5,128.6,26.56,40.05
Alor Setar Selatan Toll,Bandar Ainsdale Toll,52.96,96.8,129,26.64,40.22
Alor Setar Selatan Toll,UPM Toll,53.05,96.9,129.1,26.64,40.22
Alor Setar Selatan Toll,SEREMBAN Toll,53.29,97.5,129.8,26.81,40.46
Alor Setar Selatan Toll,Sg. Besi Toll,53.54,97.9,130.4,26.89,40.63
Alor Setar Selatan Toll,Port Dickson Toll,53.78,98.3,130.9,26.97,40.79
Alor Setar Selatan Toll,Senawang Toll,54.19,99.1,132,27.22,41.12
Alor Setar Selatan Toll,PEDAS LINGGI Toll,56,102.3,136.3,28.12,42.43
Alor Setar Selatan Toll,Simpang Ampat Toll,58.54,107,142.6,29.43,44.4
Alor Setar Selatan Toll,Ayer Keroh Toll,60.92,111.4,148.4,30.58,46.2
Alor Setar Selatan Toll,Jasin Toll,62.72,114.7,152.8,31.48,47.52
Alor Setar Selatan Toll,Tangkak Toll,63.87,116.8,155.6,32.06,48.42
Alor Setar Selatan Toll,Bukit Gambir Toll,65.26,119.3,158.9,32.71,49.4
Alor Setar Selatan Toll,Pagoh Toll,66.99,122.5,163.3,33.61,50.71
Alor Setar Selatan Toll,Yong Peng Utara Toll,71.74,131.2,174.8,35.99,54.32
Alor Setar Selatan Toll,Ayer Hitam Toll,73.96,135.2,180.1,37.06,55.96
Alor Setar Selatan Toll,Machap Toll,74.78,136.7,182.2,37.47,56.54
Alor Setar Selatan Toll,Spg. Renggam Toll,76.33,139.6,186,38.29,57.77
Alor Setar Selatan Toll,Sedenak Toll,78.38,143.3,191,39.35,59.24
Alor Setar Selatan Toll,KULAI Toll,79.94,146.1,194.7,40.09,60.39
Alor Setar Selatan Toll,Senai Utara Toll,80.93,147.9,197.1,40.58,61.13
Alor Setar Selatan Toll,Skudai Toll,81.25,148.5,197.9,40.75,61.37
Alor Setar Utara Toll,Hutan Kampung Toll,0.32,0.7,0.9,0.16,0.24
Alor Setar Utara Toll,Alor Setar Selatan Toll,0.98,1.8,2.4,0.49,0.73
Alor Setar Utara Toll,PENDANG Toll,2.54,4.7,6.3,1.31,1.88
Alor Setar Utara Toll,GURUN Toll,4.59,8.4,11.1,2.29,3.44
Alor Setar Utara Toll,SG. PETANI UTARA Toll,6.56,12,16,3.28,4.92
Alor Setar Utara Toll,SG. PETANI SELATAN Toll,7.62,13.9,18.5,3.77,5.65
Alor Setar Utara Toll,BERTAM Toll,8.85,16.2,21.6,4.42,6.64
Alor Setar Utara Toll,Ipoh Selatan Toll,10,18.1,24.1,5.08,7.54
Alor Setar Utara Toll,SG. DUA Toll,10,18.1,24.1,5.08,7.54
Alor Setar Utara Toll,BKT. TAMBUN SELATAN Toll,10.9,19.7,26.3,5.49,8.2
Alor Setar Utara Toll,JAWI Toll,12.3,22.3,29.7,6.23,9.26
Alor Setar Utara Toll,BANDAR BAHARU Toll,13.61,24.7,32.9,6.88,10.25
Alor Setar Utara Toll,ALOR PONGSU Toll,14.18,25.7,34.3,7.21,10.66
Alor Setar Utara Toll,BUKIT MERAH Toll,15.66,28.5,38,7.95,11.8
Alor Setar Utara Toll,TAIPING UTARA Toll,16.97,30.8,41.1,8.61,12.79
Alor Setar Utara Toll,CANGKAT JERING Toll,18.61,33.8,45,9.34,14.02
Alor Setar Utara Toll,KUALA KANGSAR Toll,21.07,38.3,51,10.57,15.82
Alor Setar Utara Toll,IPOH UTARA Toll,23.78,43.3,57.7,11.97,17.87
Alor Setar Utara Toll,SIMPANG PULAI Toll,25.25,46,61.2,12.71,18.94
Alor Setar Utara Toll,GOPENG Toll,26.32,48,64,13.28,19.76
Alor Setar Utara Toll,TAPAH Toll,29.68,54.1,72.1,14.92,22.3
Alor Setar Utara Toll,BIDOR Toll,31.16,56.9,75.8,15.66,23.45
Alor Setar Utara Toll,SUNGKAI Toll,32.71,59.6,79.5,16.4,24.6
Alor Setar Utara Toll,SLIM RIVER Toll,34.85,63.5,84.6,17.46,26.15
Alor Setar Utara Toll,BEHRANG Toll,36.49,66.5,88.7,18.36,27.38
Alor Setar Utara Toll,Tg. Malim Toll,38.13,69.5,92.6,19.1,28.61
Alor Setar Utara Toll,LEMBAH BERINGIN Toll,39.11,71.3,95.1,19.68,29.35
Alor Setar Utara Toll,BUKIT TAGAR Toll,40.09,73.2,97.5,20.17,30.09
Alor Setar Utara Toll,BUKIT BERUNTUNG Toll,41.08,74.9,99.8,20.58,30.83
Alor Setar Utara Toll,SUNGAI BUAYA Toll,41.82,76.3,101.7,20.99,31.4
Alor Setar Utara Toll,RAWANG Toll,42.8,78.1,104.1,21.48,32.14
Alor Setar Utara Toll,RAWANG SELATAN Toll,43.29,79,105.3,21.73,32.55
Alor Setar Utara Toll,SG. BULOH HOSPITAL Toll,43.95,80.2,106.9,22.05,33.04
Alor Setar Utara Toll,SG. BULOH Toll,44.19,80.6,107.5,22.14,33.21
Alor Setar Utara Toll,KOTA DAMANSARA Toll,44.85,81.8,109.1,22.55,33.7
Alor Setar Utara Toll,DAMANSARA Toll,45.26,82.7,110.2,22.71,34.03
Alor Setar Utara Toll,Jalan Duta Toll,45.51,83,110.6,22.79,34.11
Alor Setar Utara Toll,SUBANG Toll,45.51,83,110.6,22.79,34.11
Alor Setar Utara Toll,Shah Alam Toll,46,84,111.9,23.12,34.6
Alor Setar Utara Toll,Seafield Toll,46.74,85.3,113.6,23.45,35.01
Alor Setar Utara Toll,BANDAR CASSIA Toll,17.49,51.5,98.1,14.45,35.06
Alor Setar Utara Toll,Setia Alam Toll,46.98,85.7,114.3,23.53,35.26
Alor Setar Utara Toll,USJ Toll,47.15,86,114.6,23.61,35.34
Alor Setar Utara Toll,Bukit Raja Toll,47.15,86,114.7,23.61,35.42
Alor Setar Utara Toll,PUTRA HEIGHTS Toll,47.64,87,115.9,23.86,35.75
Alor Setar Utara Toll,Bandar Saujana Putra Toll,47.97,87.5,116.6,24.02,35.99
Alor Setar Utara Toll,BANDAR GAMUDA COVE Toll,49.03,89.5,119.3,24.6,36.81
Alor Setar Utara Toll,Putra Jaya Toll,49.52,90.4,120.4,24.84,37.14
Alor Setar Utara Toll,BANDAR SERENIA Toll,50.26,91.7,122.3,25.25,37.72
Alor Setar Utara Toll,KLIA Toll,50.75,92.4,122.9,25.66,38.13
Alor Setar Utara Toll,Nilai Toll,51.98,94.9,126.4,26.07,39.03
Alor Setar Utara Toll,Putera Mahkota Toll,51.98,95,126.6,26.15,39.03
Alor Setar Utara Toll,SOUTHVILLE CITY Toll,52.48,95.7,127.6,26.32,39.36
Alor Setar Utara Toll,BANGI Toll,52.8,96.4,128.5,26.48,39.6
Alor Setar Utara Toll,KAJANG Toll,53.46,97.6,130.1,26.89,40.09
Alor Setar Utara Toll,Bandar Ainsdale Toll,53.62,97.9,130.5,26.97,40.26
Alor Setar Utara Toll,UPM Toll,53.71,98,130.6,26.97,40.26
Alor Setar Utara Toll,SEREMBAN Toll,53.95,98.6,131.3,27.14,40.5
Alor Setar Utara Toll,Sg. Besi Toll,54.2,99,131.9,27.22,40.67
Alor Setar Utara Toll,Port Dickson Toll,54.44,99.4,132.4,27.3,40.83
Alor Setar Utara Toll,Senawang Toll,54.85,100.2,133.5,27.55,41.16
Alor Setar Utara Toll,PEDAS LINGGI Toll,56.66,103.4,137.8,28.45,42.47
Alor Setar Utara Toll,Simpang Ampat Toll,59.2,108.1,144.1,29.76,44.44
Alor Setar Utara Toll,Ayer Keroh Toll,61.58,112.5,149.9,30.91,46.24
Alor Setar Utara Toll,Jasin Toll,63.38,115.8,154.3,31.81,47.56
Alor Setar Utara Toll,Tangkak Toll,64.53,117.9,157.1,32.39,48.46
Alor Setar Utara Toll,Bukit Gambir Toll,65.92,120.4,160.4,33.04,49.44
Alor Setar Utara Toll,Pagoh Toll,67.65,123.6,164.8,33.94,50.75
Alor Setar Utara Toll,Yong Peng Utara Toll,72.4,132.3,176.3,36.32,54.36
Alor Setar Utara Toll,Ayer Hitam Toll,74.62,136.3,181.6,37.39,56
Alor Setar Utara Toll,Machap Toll,75.44,137.8,183.7,37.8,56.58
Alor Setar Utara Toll,Spg. Renggam Toll,76.99,140.7,187.5,38.62,57.81
Alor Setar Utara Toll,Sedenak Toll,79.04,144.4,192.5,39.68,59.28
Alor Setar Utara Toll,KULAI Toll,80.6,147.2,196.2,40.42,60.43
Alor Setar Utara Toll,Senai Utara Toll,81.59,149,198.6,40.91,61.17
Alor Setar Utara Toll,Skudai Toll,81.91,149.6,199.4,41.08,61.41
Ayer Hitam SKVE Toll,Saujana Putra SKVE Toll,2.4,3.5,4.7,1.2,1.5
Ayer Hitam SKVE Toll,TELUK PANGLIMA GARANG Toll,4.5,6.7,8.9,2.2,2.8
Ayer Hitam SKVE Toll,PULAU INDAH Toll,8.1,12.2,16.3,4.1,5
Ayer Hitam Toll,Machap Toll,0.98,1.8,2.4,0.49,0.74
Ayer Hitam Toll,Yong Peng Selatan Toll,1.8,3.3,4.4,0.9,1.31
Ayer Hitam Toll,Yong Peng Utara Toll,2.38,4.3,5.7,1.15,1.72
Ayer Hitam Toll,Spg. Renggam Toll,2.54,4.7,6.3,1.31,1.89
Ayer Hitam Toll,Sedenak Toll,4.67,8.6,11.4,2.38,3.53
Ayer Hitam Toll,KULAI Toll,6.15,11.2,15,3.03,4.59
Ayer Hitam Toll,Pagoh Toll,7.13,13,17.4,3.61,5.33
Ayer Hitam Toll,Senai Utara Toll,7.13,13,17.4,3.61,5.33
Ayer Hitam Toll,Skudai Toll,7.46,13.7,18.2,3.77,5.58
Ayer Hitam Toll,Bukit Gambir Toll,8.77,16.1,21.5,4.43,6.64
Ayer Hitam Toll,Tangkak Toll,10.09,18.5,24.6,5.08,7.54
Ayer Hitam Toll,Jasin Toll,11.56,21.1,28.1,5.74,8.69
Ayer Hitam Toll,Ayer Keroh Toll,13.04,23.9,31.8,6.56,9.76
Ayer Hitam Toll,Simpang Ampat Toll,15.58,28.4,37.9,7.79,11.64
Ayer Hitam Toll,PEDAS LINGGI Toll,18.12,33.1,44.2,9.1,13.61
Ayer Hitam Toll,Senawang Toll,19.93,36.5,48.7,10,15.01
Ayer Hitam Toll,Port Dickson Toll,20.25,37,49.3,10.09,15.17
Ayer Hitam Toll,SEREMBAN Toll,20.66,37.7,50.3,10.33,15.5
Ayer Hitam Toll,Bandar Ainsdale Toll,21.32,38.9,51.9,10.66,15.99
Ayer Hitam Toll,Nilai Toll,23.12,42.3,56.4,11.56,17.38
Ayer Hitam Toll,Putera Mahkota Toll,23.62,43.1,57.5,11.81,17.71
Ayer Hitam Toll,SOUTHVILLE CITY Toll,24.03,43.9,58.6,12.05,18.04
Ayer Hitam Toll,BANGI Toll,24.44,44.7,59.5,12.22,18.29
Ayer Hitam Toll,BANDAR SERENIA Toll,24.68,45.1,60.2,12.38,18.53
Ayer Hitam Toll,KAJANG Toll,25.17,46,61.3,12.55,18.86
Ayer Hitam Toll,UPM Toll,25.34,46.4,61.9,12.71,19.02
Ayer Hitam Toll,BANDAR GAMUDA COVE Toll,25.5,46.6,62.2,12.71,19.11
Ayer Hitam Toll,Sg. Besi Toll,25.91,47.3,63.1,12.96,19.43
Ayer Hitam Toll,KLIA Toll,26.08,47.4,63,13.2,19.68
Ayer Hitam Toll,Bandar Saujana Putra Toll,26.98,49.2,65.6,13.45,20.25
Ayer Hitam Toll,Putra Jaya Toll,27.31,49.9,66.5,13.61,20.5
Ayer Hitam Toll,PUTRA HEIGHTS Toll,27.39,50.1,66.7,13.69,20.58
Ayer Hitam Toll,USJ Toll,27.88,51,67.9,13.94,20.91
Ayer Hitam Toll,Seafield Toll,28.37,51.8,69.1,14.1,21.32
Ayer Hitam Toll,Ebor Selatan Toll,28.37,51.9,69.1,14.19,21.32
Ayer Hitam Toll,Shah Alam Toll,29.03,53,70.6,14.43,21.81
Ayer Hitam Toll,SUBANG Toll,29.44,53.8,71.7,14.76,22.06
Ayer Hitam Toll,Setia Alam Toll,29.85,54.5,72.8,14.92,22.39
Ayer Hitam Toll,DAMANSARA Toll,29.93,54.7,72.9,15.01,22.39
Ayer Hitam Toll,Bukit Raja Toll,30.01,54.8,73.2,15.01,22.47
Ayer Hitam Toll,KOTA DAMANSARA Toll,30.09,55.2,73.5,15.09,22.55
Ayer Hitam Toll,SG. BULOH Toll,30.75,56.3,75,15.42,23.04
Ayer Hitam Toll,SG. BULOH HOSPITAL Toll,31,56.8,75.6,15.58,23.29
Ayer Hitam Toll,Jalan Duta Toll,31.24,57.2,76.2,15.66,23.45
Ayer Hitam Toll,RAWANG SELATAN Toll,31.49,57.7,76.9,15.83,23.62
Ayer Hitam Toll,RAWANG Toll,32.14,58.8,78.4,16.07,24.11
Ayer Hitam Toll,SUNGAI BUAYA Toll,33.13,60.7,80.8,16.65,24.85
Ayer Hitam Toll,BUKIT BERUNTUNG Toll,33.78,61.9,82.4,16.97,25.34
Ayer Hitam Toll,BUKIT TAGAR Toll,34.77,63.6,84.8,17.38,26.08
Ayer Hitam Toll,LEMBAH BERINGIN Toll,35.92,65.7,87.5,17.96,26.9
Ayer Hitam Toll,Tg. Malim Toll,36.9,67.6,90.1,18.53,27.72
Ayer Hitam Toll,BEHRANG Toll,38.13,69.8,93.1,19.11,28.62
Ayer Hitam Toll,SLIM RIVER Toll,39.93,73.1,97.4,20.01,29.93
Ayer Hitam Toll,SUNGKAI Toll,41.98,76.9,102.4,21.07,31.49
Ayer Hitam Toll,BIDOR Toll,43.62,79.8,106.4,21.89,32.72
Ayer Hitam Toll,TAPAH Toll,45.1,82.5,109.9,22.55,33.78
Ayer Hitam Toll,GOPENG Toll,48.46,88.6,118.1,24.27,36.33
Ayer Hitam Toll,SIMPANG PULAI Toll,49.45,90.5,120.6,24.76,37.06
Ayer Hitam Toll,Ipoh Selatan Toll,50.84,93,123.9,25.42,38.13
Ayer Hitam Toll,KUALA KANGSAR Toll,53.71,98.3,130.9,26.9,40.26
Ayer Hitam Toll,CANGKAT JERING Toll,56.09,102.6,136.7,28.04,42.07
Ayer Hitam Toll,TAIPING UTARA Toll,57.89,105.8,141,28.95,43.38
Ayer Hitam Toll,BUKIT MERAH Toll,59.12,108.1,144,29.52,44.28
Ayer Hitam Toll,ALOR PONGSU Toll,60.52,110.7,147.6,30.26,45.43
Ayer Hitam Toll,BANDAR BAHARU Toll,61.01,111.7,148.8,30.5,45.76
Ayer Hitam Toll,JAWI Toll,62.57,114.4,152.4,31.24,46.9
Ayer Hitam Toll,BKT. TAMBUN UTARA Toll,63.88,116.9,155.7,31.98,47.89
Ayer Hitam Toll,JURU Toll,64.62,118.2,157.5,32.31,48.46
Ayer Hitam Toll,BERTAM Toll,65.93,120.5,160.6,33.04,50.06
Ayer Hitam Toll,SG. PETANI SELATAN Toll,67.57,123.5,164.5,33.86,50.75
Ayer Hitam Toll,SG. PETANI UTARA Toll,68.31,124.8,166.3,34.19,51.24
Ayer Hitam Toll,GURUN Toll,70.11,128.2,170.8,35.18,52.64
Ayer Hitam Toll,PENDANG Toll,72.32,132.2,176.1,36.24,54.28
Ayer Hitam Toll,Alor Setar Selatan Toll,73.96,135.2,180.1,37.06,55.96
Ayer Hitam Toll,Alor Setar Utara Toll,74.62,136.3,181.6,37.39,56
Ayer Hitam Toll,Hutan Kampung Toll,75.28,137.6,183.3,37.72,56.76
Ayer Hitam Toll,BANDAR CASSIA Toll,69.81,147.4,225.9,40.53,74.26
Ayer Keroh Toll,Jasin Toll,1.97,3.6,4.8,0.98,1.48
Ayer Keroh Toll,Simpang Ampat Toll,2.54,4.7,6.3,1.31,1.89
Ayer Keroh Toll,Tangkak Toll,3.12,5.6,7.5,1.56,2.3
Ayer Keroh Toll,Bukit Gambir Toll,4.43,8.2,10.9,2.21,3.36
Ayer Keroh Toll,PEDAS LINGGI Toll,5.08,9.3,12.4,2.54,3.85
Ayer Keroh Toll,Pagoh Toll,6.07,11.1,14.8,3.03,4.59
Ayer Keroh Toll,Senawang Toll,6.97,12.7,17,3.44,5.25
Ayer Keroh Toll,Port Dickson Toll,7.22,13.2,17.6,3.61,5.41
Ayer Keroh Toll,SEREMBAN Toll,7.63,13.9,18.6,3.85,5.74
